company_names,company_reviews,Reviews,Salaries,Interviews,jobs,Benefits,photos
Central Electronics,3.7,114 ,536,7,--,10,--
Getronics,4.3,117 ,861,7,15,16,--
BankBazaar,3.3,641 ,2.9k,60,13,62,6
RFCL,3.6,125 ,592,13,--,4,--
HeyCoach,4.0,190 ,188,25,18,1,12
Srg Housing Finance,4.0,192 ,575,13,19,6,--
WNS Denali,3.5,180 ,749,26,--,6,--
Ritz-Carlton,4.1,222 ,554,10,--,26,--
Quality Austria Central Asia,3.4,637 ,1.8k,26,17,53,--
Colorbar Cosmetics,3.9,198 ,568,13,--,16,3
Flourish Pure Foods,2.0,107 ,456,5,--,7,--
DAEWOO E&C,4.2,133 ,162,5,--,15,--
Deenanath Mangeshkar Hospital,3.9,349 ,967,16,18,31,--
S.R.Batliboi & Co.,3.0,193 ,1k,14,--,11,--
Barmalt Malting,3.9,233 ,902,15,4,23,1
Geekyants Software,3.3,113 ,988,31,62,13,3
Jyothy Labs,4.1,945 ,2k,50,27,72,6
Velammal Educational Trust,3.7,140 ,640,13,4,9,2
Microlink Solutions,3.9,209 ,712,12,1,19,12
CloudThat Technologies Private Limited,4.0,128 ,667,26,59,4,13
Value Rcm Solutions,4.1,185 ,357,33,--,11,--
Wissen Infotech,3.6,643 ,4.6k,61,130,57,9
Dew Solutions,3.5,187 ,1.2k,23,--,22,--
Rubamin,4.0,205 ,1k,18,5,21,10
INVENTIVE SOFTWARE SOLUTIONS,3.8,126 ,414,10,164,4,--
Gits Food Products,4.0,139 ,505,12,--,7,--
SOGEFI ENGINE SYSTEMS INDIA,3.8,108 ,559,9,--,12,--
HexaView Technologies,2.8,131 ,898,21,1,7,--
Vedanta Resources,3.7,883 ,4.9k,94,7,93,5
IILM,4.1,193 ,446,11,5,6,2
ANZ Operations & Technology,3.7,294 ,2.5k,31,--,37,--
Infosearch BPO Services,4.2,217 ,480,12,2,8,22
Jubilant Ingrevia,3.8,664 ,2.8k,51,--,21,--
Scribe EMR,4.0,166 ,540,16,15,10,--
Cadeploy Engineering,3.2,157 ,730,14,11,12,1
Lubrizol Corporation,4.2,185 ,866,8,24,14,--
Sresta Natural Bioproducts,3.6,155 ,531,10,2,12,6
Test Yantra Software Solutions,3.1,906 ,25.4k,145,14,129,--
MCM Telecom Equipment,3.8,371 ,878,17,1,40,1
Ebullient Securities,3.2,114 ,397,16,--,12,--
Shipsy,4.2,135 ,672,20,11,2,12
Amara Raja Infra,4.0,498 ,1.4k,53,--,17,3
S.R. Batliboi & Associates,2.9,119 ,1.3k,5,--,2,--
Cosmo Films,3.7,477 ,2k,40,13,48,4
NRP Projects,4.1,183 ,693,9,1,13,--
Kapston Services,4.0,226 ,853,14,--,9,48
Yamaha Motors Solutions,3.1,123 ,675,18,58,17,8
Trellix,3.4,171 ,1.4k,23,30,3,5
St. John's Medical College Hospital,4.2,232 ,648,5,63,18,--
Encore Healthcare,3.5,112 ,360,1,--,3,--
UNI Klinger,3.9,140 ,609,14,--,19,--
BluSmart,3.9,223 ,889,20,--,1,1
Trivitron Healthcare,3.4,228 ,1.1k,25,8,26,4
Pune Institute of Business Management,2.8,123 ,483,10,5,10,--
Perfios Software Solutions,3.5,238 ,2.4k,26,14,12,4
Biotech Vision Care,3.6,161 ,827,16,4,12,--
Rain Carbon,4.1,166 ,529,14,--,7,--
Quarks Technosoft,3.4,119 ,569,18,294,5,20
Orient Bell,3.4,413 ,1.5k,22,1,37,--
Electrical Manufacturing Company,4.4,112 ,433,23,--,21,--
DataMetica,3.2,406 ,2.8k,48,29,20,--
Indian Synthetic Rubber,4.0,122 ,546,5,3,22,--
BeeperMD,3.6,120 ,146,25,--,3,--
Toyota Kirloskar Auto Parts,4.2,168 ,625,5,--,18,--
Talwalkars Better Value Fitness,4.2,177 ,436,6,--,30,--
Fisdom,3.4,198 ,817,16,16,7,3
KHD Humboldt Wedag,4.3,146 ,700,7,--,14,--
Centillion Solutions and Services,3.9,189 ,522,7,11,4,1
Kelly Services,4.2,292 ,1.2k,17,--,40,7
Can Fin Homes,2.8,320 ,1.1k,21,1,17,--
Quality Evaluation And Systems Team,4.1,133 ,482,2,3,7,--
Royal Infraconstru,3.3,251 ,771,20,2,15,--
Steag Energy Services,4.3,890 ,2.8k,47,13,98,2
Evelyn Learning Systems,3.9,341 ,791,38,--,88,6
Khazana Jewellery,3.9,625 ,1.7k,64,27,55,8
Embee Software,3.7,302 ,1.3k,9,3,14,5
R L Fine Chem,3.6,291 ,1.5k,22,4,28,--
Alexander Mann Solutions,3.1,165 ,636,7,3,1,2
Al Hassan Engineering Company SAOG,3.9,129 ,205,4,--,20,--
Corrival Corporate Services,4.1,196 ,485,22,--,--,--
Concentric,3.7,161 ,865,40,1,19,--
Valmont Structures,2.9,127 ,698,19,--,7,30
DigiCall Teleservices,4.0,200 ,330,2,--,26,--
Dembla Valves,3.8,124 ,557,9,4,4,--
Kushal's Fashion Jewellery,4.4,337 ,635,36,114,7,84
Servosys Solutions,3.0,162 ,1.2k,26,11,7,4
Alstone Manufacturing,4.3,115 ,225,12,--,2,4
Premium Chick Feeds,3.5,151 ,514,7,--,12,--
Quampetence Business Solutions,2.9,107 ,359,4,--,7,--
Govt of Karnataka,3.7,119 ,539,3,--,12,--
Recpdcl.ltd,4.0,409 ,784,17,--,44,--
iSource,3.0,137 ,583,13,1,6,--
GA Infra Private Limited,3.9,150 ,458,17,6,--,2
MEDICO Healthcare Services & Technologies,3.0,209 ,891,26,--,11,1
Open Financial Technologies Private Limited,3.2,185 ,1.1k,27,11,1,--
Jss Pro Services,3.8,131 ,592,14,3,11,--
La Renon Healthcare,4.2,223 ,639,15,8,17,4
Tcil,3.8,142 ,469,19,--,5,1
Vikram Solar,3.6,621 ,2.2k,38,11,52,2
MidasCare Pharmaceuticals,3.6,214 ,660,13,--,13,--
v4c.ai,4.6,120 ,192,33,--,1,4
Identifyplus Delivery Services,3.2,236 ,409,11,--,9,--
Mastech Digital,3.6,107 ,584,6,39,16,--
Covestro,4.4,159 ,585,14,--,18,--
Crane Process Flow Technologies India,3.5,120 ,643,12,--,11,--
Revolt Motors,3.3,190 ,737,29,22,3,--
Sunbeam School,4.3,145 ,418,10,--,17,--
Daebu Automotive Seat,3.4,170 ,682,6,--,20,--
IDMC,3.7,208 ,878,7,2,13,--
Neural IT,3.3,115 ,525,20,25,5,--
Samvardhana Motherson Auto Component,3.9,145 ,727,9,--,7,--
Oriflame India,4.1,275 ,812,18,--,43,--
Cvent,3.2,572 ,4.5k,101,168,55,6
Emblix Solutions,4.5,118 ,106,4,2,39,8
Kirloskar Technologies,4.1,193 ,507,18,5,16,--
Honeywell Uop,3.4,166 ,732,16,--,16,6
Data Bridge Market Research,3.0,151 ,524,23,4,6,14
Radium Creation,3.9,277 ,665,9,2,46,1
Ram Kripal Singh Construction,3.7,155 ,489,6,--,8,--
Tata Passenger Electric Mobility,4.1,163 ,544,11,--,2,--
Meditrina Hospital,4.0,170 ,488,4,23,4,3
Neuberg Diagnostics,3.4,371 ,1.5k,17,18,16,1
SkilloVilla,3.9,161 ,247,18,7,2,--
Starmark Software,3.4,234 ,1.5k,20,4,8,--
Ajit Industries Pvt.Ltd,4.2,155 ,476,15,--,9,46
Upwork,4.3,234 ,1.5k,20,4,13,--
CETPA InfoTech,3.6,190 ,758,15,1,27,--
Jarvis Technology and Strategy Consulting,3.4,179 ,777,23,--,7,3
M.P. State Electronics Development Corporation,3.6,115 ,461,6,--,1,--
VGN Projects Estates,4.1,238 ,692,15,5,82,--
Meru Accounting,3.6,111 ,175,14,--,1,1
Springworks,4.4,122 ,290,24,--,42,9
Appy Pie,3.8,128 ,681,14,4,12,--
Knight Frank,4.1,903 ,3.2k,58,6,75,2
Gujarat State Electricity Corporation,4.4,161 ,275,6,--,8,1
Shyam Steel Manufacturing,3.4,254 ,863,30,--,5,7
Knest Manufacturers,3.4,208 ,1.1k,13,1,6,1
Blue Dart Aviation,3.6,109 ,293,4,--,20,1
ExcelSoft Technologies,3.4,214 ,1.6k,21,2,11,--
Oremus Corporate Services,3.7,121 ,604,7,9,8,--
Excellon Software,4.3,205 ,1.1k,15,8,8,19
SeQuent Scientific,3.7,176 ,715,3,2,12,--
Kandhari Beverages,3.8,491 ,1.6k,30,6,21,4
Tangoe,3.9,245 ,1.2k,24,--,26,--
CLIRNet,2.6,128 ,492,12,16,7,--
Milk Mantra Dairy,3.7,220 ,811,16,--,22,--
Dubai Electricity & Water Authority (DEWA),3.6,119 ,391,11,--,11,--
Brose India Automotive Systems,3.7,167 ,1k,14,3,13,1
DSM,3.8,131 ,597,4,4,16,1
Quinte Financial Technologies,3.6,136 ,658,20,--,7,8
Diya Systems,3.3,303 ,1.2k,23,--,47,--
Bharti Foundation,3.6,165 ,409,8,8,23,3
Pramata Knowledge Solutions,3.2,163 ,825,30,--,19,5
CRB Tech Solution,3.7,204 ,418,12,--,12,--
Randstad Digital,3.2,132 ,774,12,1,1,--
Holcim Global Hub Business Services,4.2,125 ,286,13,14,1,2
Aker Solutions,4.0,433 ,2.2k,36,3,41,1
Tristha Global,4.2,107 ,731,8,31,8,--
M*Modal,3.6,186 ,472,2,--,33,--
Techouts,4.1,144 ,771,38,5,18,9
AYN InfoTech,4.5,165 ,184,1,--,48,--
MyGlamm,3.5,167 ,756,11,4,14,--
Sims Hospital,4.0,184 ,825,20,1,12,--
Tulip Diagnostics,3.9,158 ,505,8,--,14,--
Integra Global Solutions,3.5,293 ,1.5k,33,23,3,--
Indiabulls Real Estate,4.3,235 ,943,9,--,25,4
IIT Madras,3.9,246 ,1.1k,27,8,28,--
EIH,3.7,135 ,615,4,60,15,--
Elecon Engineering,4.2,371 ,1.4k,20,7,31,--
SLAP,3.8,227 ,811,17,6,10,--
National Contracting Company,4.0,245 ,636,4,--,33,--
DGS Technical Services,3.1,197 ,858,4,9,12,--
INDOASIAN,4.1,141 ,423,11,6,17,--
Vee Gee Auto Components,3.9,143 ,610,7,--,5,2
Dr. Reddy's Foundation,3.7,569 ,1.7k,54,29,75,--
Integrated Wireless Solutions,3.7,331 ,1k,18,2,18,--
Panchayati Raj,3.6,133 ,280,1,--,10,--
Praxair,4.1,198 ,675,7,--,25,--
Gangavaram Port,3.4,182 ,590,12,--,8,4
Taikisha Engineering India,3.8,195 ,1.1k,17,--,18,--
Lakme Salon,3.9,174 ,459,12,--,14,--
Midco,3.5,121 ,205,--,--,17,--
Blazeclan Technologies,3.6,216 ,1.7k,21,--,17,15
Panasonic Energy India Co,4.0,108 ,532,5,--,7,--
Super Auto Forge,4.0,253 ,1.3k,9,--,26,--
In Time Tec Visionsoft,3.4,439 ,2.4k,45,22,69,6
Utkarsh Classes,4.1,263 ,401,12,8,6,8
Savills,3.8,167 ,1.1k,15,5,9,--
Veer-O-- Metals,4.2,274 ,1.2k,16,--,23,1
JUSTO Realfintech,4.5,372 ,640,124,35,4,23
AECC Global,3.3,148 ,603,17,--,10,--
Bhartiya International,3.4,154 ,786,7,--,17,--
JAY JAY MILLS,4.1,225 ,746,16,106,19,--
AT&S,3.8,225 ,1.2k,11,16,10,--
Indian Armed Forces,4.5,142 ,384,4,--,8,--
4i apps solutions,3.6,141 ,971,16,7,13,8
Medecins Sans Frontieres,4.3,191 ,397,12,--,5,--
V.Ships,4.0,131 ,450,11,5,6,1
Carwale,3.4,184 ,1.1k,48,7,24,11
Continental Tyres,3.4,166 ,588,6,--,11,--
Vascon Engineers,3.7,336 ,1.1k,27,7,10,1
Home Centre,4.0,284 ,1.1k,17,--,23,--
Real Estate Group,4.2,163 ,2.5k,17,1,7,1
Ace Creative Learning,3.9,132 ,516,6,6,13,--
Windals Precision,3.4,114 ,521,5,--,8,--
Phoenix Marketcity,3.9,131 ,626,5,--,10,1
SunSource Energy,4.3,115 ,549,6,--,12,11
Scymes Services,3.6,145 ,522,7,5,36,11
ADM India,4.0,128 ,698,12,--,18,--
Digiglobe Solutions,4.8,115 ,5,3,--,8,--
Thar Worx,3.9,146 ,1.1k,8,--,13,--
Advatix,3.0,123 ,861,23,2,6,--
Three D Integrated Solutions Ltd,3.2,188 ,614,15,27,16,1
Saint-Gobain Abrasives,3.5,138 ,730,5,--,9,--
Impressico Business Solutions,4.5,221 ,997,15,16,39,9
N R Agarwal Industries,3.7,109 ,446,7,--,8,--
Abu Dhabi Commercial Bank,3.5,138 ,627,6,--,9,--
The Web Plant,3.1,118 ,316,8,--,36,--
NASSCOM,3.6,113 ,631,10,10,11,3
Finar,3.9,108 ,460,10,--,15,--
FANUC,3.2,139 ,799,23,8,16,--
NCR Atleos,3.8,150 ,844,11,43,1,--
Sabyasachi Couture,3.8,151 ,663,14,--,8,--
Grohe,4.1,111 ,433,9,--,7,--
SURYA INTERNATIONAL ENTERPRISE,3.9,125 ,288,12,67,1,--
Sanathan Textiles,4.0,132 ,660,6,--,6,--
Khandelwal Laboratories,4.1,135 ,410,3,--,9,--
The Calcutta Medical Research Institute,3.8,147 ,436,8,3,11,--
Maven Wave Partners,4.0,111 ,500,11,2,18,--
MAN Energy Solutions,3.7,243 ,1.2k,15,8,31,--
Fingent,3.9,260 ,950,27,16,104,62
NeST Digital,3.6,170 ,1.2k,17,87,4,3
ICT Service Management Solutions,3.4,190 ,621,4,1,21,--
Bansal Classes,3.3,132 ,469,8,--,4,1
RSH Global,4.2,219 ,738,8,--,18,4
Infinite HR Solutions,3.1,139 ,1.3k,3,--,1,--
Damodar Valley Corporation,3.8,164 ,383,3,--,22,--
Girlscript Foundation,4.9,280 ,13,73,--,2,--
BARC,4.4,271 ,971,33,--,23,--
Oliva Skin and Hair Clinics,3.8,185 ,595,14,4,27,15
Connect India E Commerce Services,2.9,130 ,372,7,1,6,--
Preet Tractors,2.6,135 ,470,12,--,12,8
Man Industries,3.5,216 ,1k,14,2,17,--
Fairmont Hotels & Resorts,3.5,126 ,336,8,71,15,--
ThoughtSol Infotech Limited,4.6,492 ,564,89,21,3,21
HyTech Professionals,3.5,123 ,661,8,13,13,--
Eagle Infra,4.1,185 ,857,12,--,20,--
Sri Gopikrishna Infrastructure,4.0,203 ,497,7,--,28,--
Slice,3.2,350 ,2.1k,50,13,6,--
Feat Systems,3.3,109 ,322,13,1,1,6
Oswal Castings,3.5,186 ,698,12,--,12,--
GLA University,3.6,221 ,807,18,22,16,--
Axis Securities and Sales,3.6,152 ,761,14,--,6,--
The New India Assurance Co.,4.5,228 ,620,9,--,24,--
Sheth Creators,3.2,187 ,758,9,--,15,--
St. Mary's School,3.8,162 ,542,7,--,17,2
Nordex India,3.9,220 ,1.1k,15,--,9,--
IndianOil Adani Ventures,4.0,293 ,992,20,--,3,--
Lakshmi Life Sciences,3.9,197 ,1k,11,--,6,--
Lowe's,4.1,953 ,9.8k,150,42,125,2
Manipal Global Education Services,3.5,118 ,877,3,--,14,--
Skechers,4.1,224 ,750,13,1,20,1
Frontizo Business Services,3.5,192 ,593,21,--,8,1
NMTronics India Private Limited,3.2,182 ,448,31,8,11,--
Padmini VNA Mechatronics,4.0,336 ,1.4k,27,5,46,9
Nimbus BPO,3.2,158 ,515,13,1,3,--
kipi.ai,3.8,285 ,1.3k,60,11,3,1
Computer Junction,3.8,122 ,456,5,1,7,6
Cachet Pharmaceuticals,3.9,135 ,406,5,--,17,--
Mold Tek Packaging,3.9,164 ,649,14,1,7,1
Service Master Clean,3.9,193 ,683,14,--,16,--
Advids,3.7,187 ,309,14,--,10,--
Webskitters,3.9,504 ,817,19,5,109,21
Rainbow Hospital,3.7,351 ,1.5k,20,--,10,--
Jakson Green,4.3,214 ,439,17,--,3,17
Corsearch,4.0,255 ,353,11,5,1,--
GIRDHARI LAL CONSTRUCTIONS,3.8,145 ,454,14,2,2,--
HGS TECHNOLOGIES,4.2,112 ,673,12,--,8,--
Theme Engineering Services,3.7,335 ,1k,16,7,23,--
Hirschvogel Components,4.0,155 ,717,7,3,18,--
Ravi Infrabuild Projects,3.7,136 ,544,8,3,2,--
Mahatma Gandhi Medical College & Hospital,4.0,121 ,446,9,--,10,--
Narmada Bio Chem,4.8,220 ,263,6,--,57,38
Lansum Properties,4.1,111 ,436,6,10,8,--
Autocomp Corporation Panse,3.5,337 ,1.4k,21,2,12,1
DTC Projects,4.0,191 ,585,20,43,32,44
Conde Nast India,2.9,157 ,1.5k,19,32,15,--
Walmart Labs,3.4,111 ,601,49,--,1,--
Hartex Rubber,3.2,156 ,630,10,1,6,--
A. Menarini India,3.5,136 ,331,2,--,18,--
IMMCO,3.1,142 ,841,13,1,10,--
Bitwise Solutions,3.7,736 ,4.4k,57,1,120,--
Aptech,3.3,433 ,1.7k,29,5,45,1
Nettur Technical Training Foundation,3.6,414 ,1.2k,27,7,36,5
Shree Hari Infraprojects,3.4,139 ,347,5,--,3,3
Radheya Machining,3.6,191 ,667,10,--,20,--
Bharat Institutions,3.4,196 ,178,6,--,88,--
Verint Systems,3.9,146 ,1.1k,11,4,7,--
Incrementors Web Solutions,3.9,181 ,186,25,--,48,--
Girnar Care,3.5,208 ,739,19,--,16,--
ICSIL,3.1,125 ,348,6,--,9,--
Airworks,3.7,122 ,639,6,7,11,--
Miles Education - CPA & CMA Review (Hyderabad),3.9,173 ,234,29,--,173,1
B.L. Kashyap & Sons,3.8,620 ,1.7k,65,17,52,3
Kamineni Hospitals,4.1,235 ,752,12,20,20,--
Vehant Technologies,3.9,148 ,772,12,58,12,1
Avant Garde Industries,4.5,110 ,73,42,2,1,--
Ananth Technologies,3.9,213 ,1.2k,14,4,23,1
Oasis Infobyte,4.1,191 ,135,22,--,--,--
Hitachi Vantara,3.5,353 ,5.4k,6,40,37,--
Tuaman Engineering,4.2,493 ,1.5k,68,--,39,3
Radio Mirchi,3.4,224 ,1.1k,18,--,12,1
Zones Corporate Solutions,2.9,216 ,1.1k,21,16,14,--
Hero Housing Finance,3.9,405 ,1.5k,23,13,10,10
TVS Automobiles Solutions,3.7,172 ,734,6,--,1,--
Galgotias University,3.3,243 ,871,18,4,11,4
Ziff Davis Performance Marketing,3.6,208 ,785,4,--,13,--
D'Decor Home Fabrics,4.1,218 ,1.3k,18,10,13,--
Nium,3.4,146 ,1.2k,9,35,14,6
Quantiphi Analytics Solutions Private Limited,3.1,948 ,7.1k,202,122,57,--
Bmm Ispat,3.9,411 ,1.5k,35,--,34,--
Adamas University,2.9,120 ,426,13,--,7,1
Payswiff Solutions,4.0,152 ,826,2,--,10,3
Celebi Airport Services India,4.2,127 ,305,6,--,2,--
Sarda Metals & Alloys,4.1,125 ,490,12,--,4,--
Karuna Management Services,3.6,291 ,444,24,3,8,1
Securonix,2.7,131 ,863,16,--,10,--
Prime Focus,3.9,208 ,628,1,--,32,--
Kent,3.6,176 ,725,7,--,6,2
Raja Software Labs,3.2,109 ,672,45,15,9,--
American Express Global Business Travel,4.2,272 ,1.8k,16,54,26,2
Laminaar Aviation Infotech,2.6,181 ,1.2k,17,--,14,3
Dar Group,3.3,125 ,646,10,16,15,--
Khandelwal Laboratories,4.1,134 ,410,3,--,9,--
BCForward,3.0,138 ,682,8,1,7,--
Birla Precision Technologies,3.5,138 ,700,5,21,13,--
Million Minds Management Services,3.5,146 ,516,6,--,9,--
SACHA Engineering,3.4,193 ,1.3k,14,3,13,--
Updater Services,3.7,876 ,2.9k,48,13,55,11
Turner Construction,4.0,231 ,811,12,8,30,--
Continental Hospitals,3.9,204 ,820,14,10,13,9
Bdh Industries,4.7,144 ,321,3,21,11,--
Innoviti Technologies Private Limited,2.9,293 ,1.5k,23,3,19,6
Zealous Services,2.7,402 ,1.1k,22,--,50,1
MT Educare,2.8,222 ,725,6,--,22,--
CADD Centre Training Services,3.9,747 ,2k,38,6,91,--
Jiva Ayurvedic Pharmacy,3.8,480 ,1.2k,43,35,47,16
American InfoSource,3.4,176 ,833,16,22,15,--
Milkbasket,3.8,369 ,1.6k,25,--,16,5
Him Teknoforge,3.5,155 ,541,12,1,12,--
PACL India,3.1,108 ,192,1,--,8,--
KG Invicta Services,3.0,123 ,543,16,7,1,--
Shri Bhagwati Machines Pvt. Ltd.,3.7,115 ,417,13,1,5,9
Ashok Iron Group,3.7,127 ,653,8,--,3,--
Nous Infosystems,3.6,410 ,3.3k,49,25,37,--
WinWire,3.2,193 ,1.6k,28,27,14,--
MUTHOOT HOMEFIN (I) LTD.,3.8,515 ,1.3k,30,1,11,15
Govt. Medical College,4.1,204 ,832,13,--,14,--
Techugo,3.7,177 ,469,15,12,6,2
Rostfrei Steels,3.8,257 ,838,36,8,9,1
Kenstar,3.8,168 ,570,13,--,9,--
MGM Healthcare,3.9,122 ,726,11,--,3,--
Scorpion Express,3.7,167 ,617,18,--,9,--
The Good Glamm Group,3.2,113 ,618,7,--,1,--
Shri Bajrang Power & Ispat,3.8,240 ,973,23,12,19,--
Saraswati Accountants Software,4.4,157 ,123,22,--,14,11
Paradigm IT,3.6,108 ,590,4,9,7,--
Rama group,3.7,123 ,692,10,6,6,--
Honasa Consumer,3.6,240 ,858,21,6,8,--
API Holdings,3.6,126 ,464,7,--,2,--
Glatt Systems,3.7,162 ,1k,12,6,16,--
Kaff Appliances (india),3.2,172 ,643,14,--,11,--
Verse Innovation,3.5,283 ,1.5k,32,1,24,--
CTX Life Science,3.9,157 ,688,6,2,9,--
Ultra Engineers,4.2,176 ,868,12,--,19,--
Cholayil Private Limited,4.0,190 ,656,7,1,19,--
C3I Solutions,3.2,113 ,511,5,--,24,--
Ascent HR Technologies Private Limited,3.7,570 ,1.8k,43,11,19,4
RAMADA PLAZA,4.1,133 ,463,6,--,18,--
Tradebulls,3.0,290 ,1.3k,21,25,17,--
Unicorn DenMart,3.9,142 ,510,26,15,8,--
King George's Medical University,4.1,219 ,582,9,4,17,--
Saraswati Vidya Mandir,3.9,118 ,351,4,4,11,--
Beckman Coulter,3.5,193 ,1.2k,11,245,18,6
Flynaut SaaS,3.1,140 ,380,21,--,2,--
RASI SEEDS,4.0,226 ,708,8,2,22,2
R.K.M Powergen,4.0,343 ,1.1k,24,--,28,4
Horiba India,3.6,198 ,1.1k,9,--,19,--
Jaipur National University,3.1,228 ,579,8,--,7,1
Press Fit Pipe And Profile,4.1,129 ,366,6,9,25,4
AB Mauri India,3.9,189 ,737,9,--,9,1
Moris Media,4.4,136 ,23,29,136,1,1
Massmutual Global Business Services,3.8,263 ,1.6k,9,41,1,--
CNS Comnet,4.1,128 ,308,1,--,17,--
Nesma & Partners,4.2,260 ,489,10,--,31,--
Paperchase Accountancy,3.0,328 ,1.6k,33,4,15,16
Keka Technologies,3.0,254 ,1.7k,47,120,10,--
TPI Composites,4.3,213 ,941,24,--,18,--
Six Sails Technologies,4.2,107 ,371,7,--,3,--
Gallantt Ispat,3.7,245 ,718,17,2,7,7
Medgenome Labs,3.8,246 ,971,22,5,16,--
HP ADHESIVES,4.1,127 ,473,7,1,4,--
Vilas Javdekar Developers,3.8,288 ,1.2k,35,33,11,--
NullClass,3.6,193 ,156,15,--,2,--
FCC Clutch,3.9,620 ,2.3k,44,--,37,5
Asian Granito India,3.6,413 ,1.5k,15,2,20,3
IFB Agro Industries,4.0,180 ,675,8,--,24,--
Shopclues,3.3,203 ,1.1k,9,57,24,--
Infoblox,3.8,146 ,1.3k,21,29,13,9
CESC,3.7,336 ,1.5k,38,1,38,--
Coats,3.6,516 ,1.8k,26,34,46,--
Paramatrix Technologies,4.1,208 ,530,13,21,12,--
Spun Micro Processing,3.9,159 ,567,9,--,11,--
Hiranandani group,4.0,171 ,854,11,--,25,--
Esme Consumer,4.0,137 ,380,10,7,1,1
T D S MANAGEMENT CONSULTANT,3.8,108 ,256,11,--,6,2
Acme Solar Energy,4.4,123 ,254,10,--,2,--
JSW Steel Coated Products,3.9,305 ,1.1k,29,--,12,--
MResult Services,3.7,158 ,1.2k,24,3,14,20
Amplifon,4.0,124 ,406,8,--,11,--
Glory Global Solutions (south Asia),3.3,118 ,424,6,--,8,--
BCT Consulting Private Limited,4.0,286 ,1.1k,40,--,2,11
Wonderchef Home Appliances,3.9,169 ,683,15,7,12,--
Hamleys,3.8,296 ,655,20,--,36,11
Seashell Logistics,3.8,137 ,529,8,1,10,--
Sekisui Dljm Molding,3.8,345 ,1.3k,20,--,26,--
MKCL,3.6,217 ,1k,16,2,20,--
Orthosquare Dental Clinic,4.6,204 ,84,16,--,1,1
ASA & Associates,3.5,142 ,851,14,1,11,--
Kohinoor Group,3.9,140 ,996,10,--,8,--
Corient Business Solutions,3.2,177 ,786,27,10,3,--
Udaan India - The Original Visa Company,4.3,365 ,1.6k,23,--,1,--
Ebixcash World Money,3.6,206 ,852,16,11,9,--
Digital Aptech,4.3,144 ,386,6,24,7,5
SMS Limited,4.0,275 ,2.5k,13,2,31,--
The Professional Couriers,3.4,262 ,1.1k,8,37,15,--
Shanthi Gears,3.3,200 ,1.2k,19,--,20,--
SUEZ Group,4.2,482 ,1.9k,20,9,41,--
Terex,3.8,263 ,1.5k,9,5,27,2
Walchandnagar Industries,3.2,277 ,1.1k,11,2,30,4
Kirloskar Ebara Pumps,3.6,147 ,719,5,8,4,--
Securitas,3.8,504 ,2k,38,6,42,--
Mukand Sumi Special Steel,3.7,187 ,651,14,--,8,--
Valmet,4.1,258 ,1.3k,15,24,23,3
Airtel Business,3.7,151 ,844,26,--,17,--
Meritto,3.4,181 ,1k,25,21,19,5
Edunet Foundation,4.1,175 ,339,18,--,2,--
Academor,2.6,142 ,160,47,--,2,4
EDUGORILLA COMMUNITY,3.3,133 ,386,11,--,9,1
EPL Limited,3.8,660 ,1.8k,29,--,70,4
Eastman Industries,4.0,153 ,333,16,2,7,--
Radnik Exports,4.0,234 ,771,7,--,15,--
Enrich Energy,4.0,135 ,598,8,3,10,3
JCT Limited,3.7,161 ,595,6,--,22,--
Object Frontier Software,3.8,124 ,1.3k,7,--,18,--
Rajhans (Desai-Jain) Group,4.0,154 ,442,17,--,8,--
Namaste Credit,3.1,117 ,585,10,--,12,--
Unison Pharmaceuticals,4.0,250 ,1.3k,19,3,10,--
HIREXA SOLUTIONS,4.0,116 ,483,19,--,2,15
Tecosim Engineering Services,3.3,118 ,568,18,--,15,--
Archies,3.2,113 ,531,4,2,9,--
Jotun Paints,3.9,155 ,597,13,2,21,--
ASK-EHS Engineering & Consultants,3.6,184 ,612,12,10,15,3
Josh Software,3.1,115 ,1k,20,8,7,--
Epigral,4.2,246 ,1.3k,21,2,4,--
Muthoot Mercantile,3.4,183 ,554,13,7,6,1
Meditab Software,3.2,213 ,1.3k,29,20,20,--
Cartrade.com,3.8,124 ,470,12,5,7,--
Interarch Building Product,3.9,234 ,1k,16,4,22,--
eMudhra,3.5,332 ,1.6k,20,--,15,6
PlasmaGen Biosciences,3.7,125 ,639,6,--,6,--
Indraprastha Gas,3.8,377 ,1.6k,21,--,32,--
SKS Fasteners,3.3,153 ,678,15,--,14,--
Kanakadurga Finance,3.6,159 ,483,6,--,6,--
Gitarattan International Business School,4.2,109 ,98,16,2,2,4
Livesalesman,4.7,137 ,118,1,--,8,--
Netafim Irrigation India,4.1,273 ,905,14,--,41,--
Cambridge Technology Enterprises,3.2,123 ,892,6,10,5,7
Wipro Infrastructure Engineering,3.7,762 ,3.9k,62,9,87,1
Celebi Delhi Cargo Terminal Management,4.2,166 ,424,3,--,38,2
Suntory Global Spirits India,4.0,276 ,946,17,11,17,--
Times Network,3.1,132 ,990,3,--,8,--
Spinco Biotech,3.7,146 ,561,11,1,10,--
DESIGNCO,4.0,177 ,724,14,16,13,--
ACPL Systems,3.4,118 ,675,7,--,10,--
Red Health,3.5,330 ,766,32,2,11,23
Giridhan Metal,4.0,154 ,475,21,--,1,1
HBL Global,4.3,368 ,370,9,--,44,--
OptimHire,3.5,201 ,808,27,--,29,--
Regalo Kitchens,3.7,226 ,496,38,17,28,--
